"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03349V04063","Eircode Output","UNIT","VALUE"
"NDQ07","New Dwelling Completion","20121","2012Q1","Y14","Y14: Arklow","Number","2"
"NDQ07","New Dwelling Completion","20121","2012Q1","Y21","Y21: Enniscorthy","Number","24"
"NDQ07","New Dwelling Completion","20121","2012Q1","Y25","Y25: Gorey","Number","10"
"NDQ07","New Dwelling Completion","20121","2012Q1","Y34","Y34: New Ross","Number","4"
"NDQ07","New Dwelling Completion","20121","2012Q1","Y35","Y35: Wexford","Number","9"
"NDQ07","New Dwelling Completion","20122","2012Q2","-","All","Number","1117"
"NDQ07","New Dwelling Completion","20122","2012Q2","A41","A41: Ballyboughal","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","A42","A42: Garristown","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","A45","A45: Oldtown","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","A63","A63: Greystones","Number","22"
"NDQ07","New Dwelling Completion","20122","2012Q2","A67","A67: Wicklow","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","A75","A75: Castleblaney","Number","7"
"NDQ07","New Dwelling Completion","20122","2012Q2","A81","A81: Carrickmacross","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","A82","A82: Kells","Number","18"
"NDQ07","New Dwelling Completion","20122","2012Q2","A83","A83: Enfield","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","A84","A84: Ashbourne","Number","6"
"NDQ07","New Dwelling Completion","20122","2012Q2","A85","A85: Dunshaughlin","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","A86","A86: Dunboyne","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","A91","A91: Dundalk","Number","15"
"NDQ07","New Dwelling Completion","20122","2012Q2","A92","A92: Drogheda","Number","15"
"NDQ07","New Dwelling Completion","20122","2012Q2","A94","A94: Blackrock","Number","6"
"NDQ07","New Dwelling Completion","20122","2012Q2","A96","A96: Glenageary","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","A98","A98: Bray","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","C15","C15: Navan","Number","24"
"NDQ07","New Dwelling Completion","20122","2012Q2","D01","D01: Dublin 1","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D02","D02: Dublin 2","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","D03","D03: Dublin 3","Number","10"
"NDQ07","New Dwelling Completion","20122","2012Q2","D04","D04: Dublin 4","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","D05","D05: Dublin 5","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","D06","D06: Dublin 6","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","D07","D07: Dublin 7","Number","8"
"NDQ07","New Dwelling Completion","20122","2012Q2","D08","D08: Dublin 8","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","D09","D09: Dublin 9","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","D10","D10: Dublin 10","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D11","D11: Dublin 11","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","D12","D12: Dublin 12","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D13","D13: Dublin 13","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","D14","D14: Dublin 14","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D15","D15: Dublin 15","Number","7"
