"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C02342V02816","Type of House","C03789V04537","Local Authority","UNIT","VALUE"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","40"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","35"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","22"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","40"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","65"
"NDQ06","New Dwelling Completion","20111","2011Q1","06","Single house","-","Ireland","Number","1156"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","26"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","6"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","39"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","22"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","7"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","6"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","24"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","113"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","5"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","17"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","8"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","2"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","14"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","12"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","10"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","5"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","17"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","7"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","12"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","60"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","11"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","7"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","8"
"NDQ06","New Dwelling Completion","20111","2011Q1","07","Scheme house","-","Ireland","Number","447"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","5"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","59"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","8"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","12"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","14"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","7"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","72"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","4"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","22"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","3"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","11"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","7"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","11"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","1"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","27"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","0"
"NDQ06","New Dwelling Completion","20111","2011Q1","08","Apartment","-","Ireland","Number","272"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","39"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","52"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","61"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","168"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","17"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","72"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","30"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","118"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","144"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","93"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","15"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","126"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","40"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","62"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","11"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","48"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","54"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","42"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","34"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","70"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","26"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","67"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","28"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","26"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","41"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","52"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","63"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","96"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","33"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","74"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","73"
"NDQ06","New Dwelling Completion","20111","2011Q1","-","All house types","-","Ireland","Number","1875"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","16"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","41"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","27"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","159"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","16"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","13"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","12"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","106"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","22"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","104"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","7"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","36"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","41"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","65"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","12"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","28"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","46"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","13"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","26"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","55"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","20"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","46"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","32"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","29"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","7"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","27"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","44"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","26"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","30"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","21"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","67"
"NDQ06","New Dwelling Completion","20112","2011Q2","06","Single house","-","Ireland","Number","1194"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","14"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","8"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","24"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","8"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","7"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","5"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","32"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","88"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","4"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","9"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","4"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","9"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","2"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","19"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","2"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","6"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","6"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","9"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","4"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","23"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","8"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","7"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","50"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","3"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","6"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","12"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","10"
"NDQ06","New Dwelling Completion","20112","2011Q2","07","Scheme house","-","Ireland","Number","380"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","6"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","17"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","89"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","51"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","24"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","2"
